rep,method,lambda_val,threshold_val,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
98,modified,0.1,0.25,10.448546569137532,0.4,0.8001889027983978,-0.385463737828829,-0.385463737828829,0.05956077671668726,0.0,151,False,0.06622516556291391
99,modified,0.1,0.25,13.679656558851896,0.2,0.8129869818117943,0.2101897798148485,0.21469431238294856,0.06296659923179186,0.0,140,False,0.07142857142857142
100,modified,0.1,0.25,6.008552674928296,0.2,0.8981448520909252,-0.2037444409654902,-0.2037444409654902,0.07276059918456816,0.0,153,False,0.06535947712418301
101,modified,0.1,0.25,12.140302681494948,0.6,0.8617552329276158,-0.15024316351975509,-0.15024316351975509,0.0689429712398509,0.0,137,False,0.072992700729927
102,modified,0.1,0.25,8.776077737761964,0.4,0.808556652418298,-0.38663375758663016,-0.38663375758663016,0.06209490645082784,0.0,147,False,0.06802721088435375
103,modified,0.1,0.25,6.648841648347598,0.3,0.8525003941106046,-0.119655381002572,-0.119655381002572,0.0674320980232146,0.0,156,False,0.0641025641025641
104,modified,0.1,0.25,9.476080854422545,0.5,0.7941398881941184,0.11978004763092172,0.11978004763092172,0.06033163080653462,0.0,149,False,0.06711409395973154
105,modified,0.1,0.25,6.888999255214308,0.2,0.8135254715647958,-0.14527089268230958,-0.14527089268230958,0.06272528197108665,0.0,162,False,0.05521472392638037
106,modified,0.1,0.25,11.581266039749838,0.2,0.8145811115611361,-0.12027871337436395,-0.12027871337436395,0.061359693057573814,0.0,144,False,0.06944444444444445
107,modified,0.1,0.25,11.428923763182485,0.6,0.8646139387145075,-0.01239479575313337,-0.01239479575313337,0.06912027714016092,0.0,154,False,0.06493506493506493
108,modified,0.1,0.25,13.46647996061952,0.1,0.6971542300589483,-0.0197868839577229,-0.0197868839577229,0.04766372046548256,0.0,135,False,0.0661764705882353
109,modified,0.1,0.25,10.466216336342411,0.3,0.8460638386366799,0.25612402584484306,0.25612402584484306,0.06735600892676932,0.0,143,False,0.06993006993006994
110,modified,0.1,0.25,10.029591149402037,0.4,0.8339565944644474,0.24581700098053222,0.24581700098053222,0.06571886528460165,0.0,151,False,0.06622516556291391
111,modified,0.1,0.25,8.986113843658403,0.4,0.8201662909749512,0.004019110393650005,0.004019110393650005,0.06232591624605917,0.0,155,False,0.06451612903225806
112,modified,0.1,0.25,11.571049049418132,0.4,0.7876719876931181,0.054453150932391024,0.07343925413493686,0.05876135745887804,0.0,144,False,0.06944444444444445
113,modified,0.1,0.25,10.348744861379267,0.3,0.8036386830220519,0.1418764989194147,0.1418764989194147,0.05887409833196644,0.0,149,False,0.06711409395973154
114,modified,0.1,0.25,10.580401396714748,0.3,0.8067271615694429,-0.22250933005529303,-0.22250933005529303,0.06148872026119645,0.0,152,False,0.06578947368421052
115,modified,0.1,0.25,12.289950481868628,0.3,0.8369576181624279,0.41394218794140014,0.41394218794140014,0.06602716687807338,0.0,144,False,0.06944444444444445
116,modified,0.1,0.25,8.58716251924778,0.5,0.8468328319324631,-0.29320297859675587,-0.29320297859675587,0.06794779161822409,0.0,144,False,0.06944444444444445
117,modified,0.1,0.25,13.924915613120906,0.5,0.7619047549438593,-0.11171211243632473,-0.0870274143019916,0.057513026465135376,0.0,149,False,0.06711409395973154
118,modified,0.1,0.25,10.666356840921594,0.3,0.7905420499327459,-0.1259010573377785,-0.1259010573377785,0.058888279677421315,0.0,141,False,0.07092198581560284
119,modified,0.1,0.25,13.095699892461871,0.5,0.7598912210305715,0.1344095838297848,0.1344095838297848,0.055380678211935784,0.0,148,False,0.06756756756756757
120,modified,0.1,0.25,8.643993247808751,0.4,0.7898375973061788,-0.031861895169165176,-0.031861895169165176,0.057856635476991124,0.0,143,False,0.06993006993006994
121,modified,0.1,0.25,8.143238580480904,0.2,0.8246917088967962,0.2966484904551171,0.2966484904551171,0.06379702332792822,0.0,141,False,0.07092198581560284
122,modified,0.1,0.25,8.533897517132417,0.2,0.7726930256633177,-0.5525728996947089,-0.5525728996947089,0.05976702749464957,0.0,162,False,0.05521472392638037
123,modified,0.1,0.25,9.372414908669631,0.3,0.8651009058191971,-0.21710026012810615,-0.21710026012810615,0.07038508558332332,0.0,158,False,0.06329113924050633
124,modified,0.1,0.25,10.713700570110815,0.2,0.8568139630210145,0.05099278797144744,0.05099278797144744,0.0711093212094188,0.0,154,False,0.05806451612903226
125,modified,0.1,0.25,10.539941585420268,0.2,0.7833728920654246,0.32847666121093066,0.32847666121093066,0.05917477406384688,0.0,144,False,0.06944444444444445
126,modified,0.1,0.25,13.325588918416878,0.4,0.7536342842138027,0.0012399964752918713,0.0012399964752918713,0.05561488417966133,0.0,132,False,0.06766917293233082
127,modified,0.1,0.25,11.455687670177458,0.2,0.7670521760116233,0.06660311164917948,0.08495557632355562,0.05732086719287138,0.0,140,False,0.07142857142857142
128,modified,0.1,0.25,10.252470591608818,0.2,0.7689192439931032,0.1765373028741674,0.1765373028741674,0.05770149016132109,0.0,145,False,0.06164383561643835
129,modified,0.1,0.25,9.322326789833298,0.2,0.8015366855866356,-0.3355113285513305,-0.3355113285513305,0.06316644290964558,0.0,150,False,0.059602649006622516
130,modified,0.1,0.25,9.691069681693536,0.3,0.8332915335145248,-0.09692201851762028,-0.09692201851762028,0.06247839803357026,0.0,135,False,0.07407407407407407
131,modified,0.1,0.25,10.604688806071666,0.3,0.8067301184074877,-0.14756964468271452,-0.13366119488161562,0.06289532052119307,0.0,150,False,0.06666666666666667
132,modified,0.1,0.25,10.843799866165304,0.2,0.8390482265467348,-0.1498093308475435,-0.1498093308475435,0.06517258884444531,0.0,145,False,0.06896551724137931
133,modified,0.1,0.25,8.979088165483,0.4,0.8541753846516782,0.0967661753079085,0.0967661753079085,0.06993690219194866,0.0,153,False,0.05844155844155844
134,modified,0.1,0.25,10.25796207737203,0.2,0.81154977353546,-0.11767353736196609,-0.11767353736196609,0.06122314196168018,0.0,148,False,0.06756756756756757
135,modified,0.1,0.25,8.55820872067213,0.5,0.8203748256938923,0.2349313931921234,0.2569503860437816,0.06537330750189972,0.0,160,False,0.0625
136,modified,0.1,0.25,9.456015002863131,0.3,0.833235640243157,0.160578768127273,0.16718561643219995,0.06879243908455998,0.0,146,False,0.0684931506849315
137,modified,0.1,0.25,6.862688221976148,0.1,0.8352618255266222,-0.259312197507817,-0.259312197507817,0.06442215222543467,0.0,148,False,0.06756756756756757
138,modified,0.1,0.25,9.379667650601865,0.1,0.7945034544952398,-0.015182756218072902,-0.013900747563394345,0.05955429763806994,0.0,145,False,0.06896551724137931
139,modified,0.1,0.25,13.3250626251686,0.5,0.7631625879373279,0.16575554755283017,0.16575554755283017,0.05315214430520741,0.0,141,False,0.07092198581560284
140,modified,0.1,0.25,10.732096659430333,0.4,0.8658587099574913,-0.0920127514350964,-0.0920127514350964,0.07007988317561484,0.0,147,False,0.06802721088435375
141,modified,0.1,0.25,11.627833469553503,0.6,0.8368443780839903,-0.06774034835429421,-0.06774034835429421,0.06604153540643587,0.0,152,False,0.06578947368421052
142,modified,0.1,0.25,12.247744023645636,0.6,0.7725541479367065,0.0022153877092202954,0.0022153877092202954,0.055220924303162236,0.0,141,False,0.07092198581560284
143,modified,0.1,0.25,11.037622143536625,0.1,0.8044869319731902,0.01757069804116813,0.01757069804116813,0.06167214121531158,0.0,153,False,0.05844155844155844
144,modified,0.1,0.25,8.921737834671982,0.6,0.7189246116912628,0.2551857852484466,0.2677580701230976,0.050364678269146146,0.0,150,False,0.06666666666666667
145,modified,0.1,0.25,10.654098953709418,0.4,0.7812055763606176,0.26323551779355253,0.26323551779355253,0.05736880604865903,0.0,139,False,0.07194244604316546
146,modified,0.1,0.25,7.874198065606999,0.3,0.8456996210130793,-0.2077996017940266,-0.2077996017940266,0.0666447402435798,0.0,148,False,0.06756756756756757
147,modified,0.1,0.25,12.448412507650007,0.8,0.7829553447978177,-0.1705038561592352,-0.1705038561592352,0.05685395877998265,0.0,144,False,0.06944444444444445
148,modified,0.1,0.25,10.198254998636216,0.2,0.7190622181110294,-0.043922263461251186,-0.026382721358411798,0.052491502040122595,0.0,150,False,0.06666666666666667
149,modified,0.1,0.25,11.291106400784493,0.3,0.751783693986592,0.04862222651372601,0.04862222651372601,0.05280003372804428,0.0,134,False,0.07462686567164178
150,modified,0.1,0.25,8.145326687413771,0.2,0.8522154394464774,-0.0046044040302996355,-0.0046044040302996355,0.06827805587181221,0.0,147,False,0.06802721088435375
151,modified,0.1,0.25,8.49318082508001,0.4,0.8445620601788587,-0.1256200465035604,-0.1256200465035604,0.06847880741959672,0.0,152,False,0.06578947368421052
